# Lexia 3 full USB dump (control+bulk+interrupt, включая пустые)
# ts,type,xfer,dir,ep,bus,dev,status,length,caplen,setup,data
1786904356.827545,S,BULK,OUT,6,1,16,4294967181,5,5,,410901c0f4
1786904356.827571,C,BULK,OUT,6,1,16,0,5,0,,
1786904356.827631,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.827855,C,BULK,IN,5,1,16,0,4,4,,42410900
1786904356.827920,S,BULK,OUT,6,1,16,4294967181,5,5,,430901c0f2
1786904356.827944,C,BULK,OUT,6,1,16,0,5,0,,
1786904356.827999,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.828523,C,BULK,IN,5,1,16,0,27,27,,440917c000fe0000aa000000000000fe020001aa00000000000088
1786904356.828598,S,BULK,OUT,6,1,16,4294967181,3,3,,064409
1786904356.828624,C,BULK,OUT,6,1,16,0,3,0,,
1786904356.852324,S,BULK,OUT,6,1,16,4294967181,25,25,,400915c000fe0000aa00000000000000000000000000000039
1786904356.852378,C,BULK,OUT,6,1,16,0,25,0,,
1786904356.852602,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.853181,C,BULK,IN,5,1,16,0,3,3,,064009
1786904356.853439,S,BULK,OUT,6,1,16,4294967181,5,5,,410901c0f4
1786904356.853463,C,BULK,OUT,6,1,16,0,5,0,,
1786904356.853614,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.853735,C,BULK,IN,5,1,16,0,4,4,,42410900
1786904356.853927,S,BULK,OUT,6,1,16,4294967181,5,5,,430901c0f2
1786904356.853950,C,BULK,OUT,6,1,16,0,5,0,,
1786904356.854104,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.854523,C,BULK,IN,5,1,16,0,27,27,,440917c000fe0000aa000000000000fe020001aa00000000000088
1786904356.854674,S,BULK,OUT,6,1,16,4294967181,3,3,,064409
